,이름,내용,이동번호,멀티챕터,싱글챕터,퀴즈,비고
23,,서랍을 열어보려 했지만 열리지 않습니다.,,,AR2C1_BackBtn,,
24,,ⓑ트럼프 카드 하트 3ⓦ을 얻었습니다.,,,AR2C1_H3Add,,
25,,램프에 불이 들어왔습니다.,,,AR2C1_LampOn,,
26,,ⓑ열쇠ⓦ를 획득했습니다.,,,AR2C1_BackBtn,,
27,,액자를 옆으로 살짝 밀어봅니다.,,,AR2C1_BackBtn,,
28,,ⓑ트럼프 카드 다이아 7ⓦ을 얻었습니다.,,,AR2C1_D7Add,,
29,,트럼프 카드를 모두 획득했습니다.,,,AR2C1_BackBtn,AR2C1_QHiddenOK,
30,Q_Small,책상 위에서 지도를 발견했습니다.\n지금 이곳은 어디일까요?,,,,AR2C1_Q2,
31,Fail,현재 위치 파악에 ⓡ실패ⓦ했습니다.,,,,,
32,,이 곳이 ⓑ존스티나 공작가의 저택ⓦ이라는\n정보를 얻었습니다.,,,,AR2C1_Q2Event,
33,,방문 앞에 누군가 찾아왔습니다.,,,,,
34,조연,야@ 귀족도 아닌 게\n공작부인 조카라고 입양되니까 좋냐?,,Boy_Basic,,,
35,아이란,....,,AR_Childhood,,,
36,조연,그래봤자 너는 공작가 핏줄은 한 방울도 없고@\n나는 고귀한 피가 흐르니까 너랑은 차원이 달라.,,Boy_Basic,,,
37,아이란,(무시한다.),,AR_Childhood,,,
38,조연,지금 내가 방계라고 무시하는 거야?\n존스티나 공작가가 어떤 곳인데?,,Boy_Angry,,,
39,조연,마도공학 사업은 다 차지하고 있는 데다가@\n남부 일대는 대부분이 존스티나 공작가의 차지야.,,Boy_Angry,,,
40,조연,왕실에게도 가장 신뢰를 받고 지금까지\n어떤 가문보다도 여러 번 왕비를 배출한 곳이라고!,,Boy_Angry,,,
41,,말이 많은 방계의 입양아를 만났습니다.,,,,,
42,조연,너 우리 영지 본토도 아니고 어디\n지방에 있던 도시에서 왔으면서@ 잘난 척 하지 마!,,Boy_Angry,,,
43,조연,입양되었다고 해서 같은 처지가 아니라고!,,Boy_Angry,,,
44,,ⓑ존스티나 공작가ⓦ에 대한 정보와@\nⓑ주인공의 출신지ⓦ에 대한 정보를 얻었습니다.,,,,AR2C1_Q2Event_End,
45,,자물쇠가 걸린 상자를 발견했습니다.,,,,AR2C1_QHidden,
46,아이란,숫자 네 개가 필요하네.,,AR_Childhood,AR2C1_Box,,
47,,ⓡ잘못된 비밀번호ⓦ를 입력했습니다.,,,,AR2C1_QHFail,
48,아이란,자물쇠가 안 움직이네?,,AR_Childhood,,,
49,,이번 챕터에서는 해당 아이템을\n획득할 수 없습니다.,,,,,
50,아이란,다음에 다시 살펴봐야겠다.,,AR_Childhood,AR2C1_Box,,
51,,자물쇠가 열렸습니다.,,,,,
52,,상자에서 ⓑ수상하게 깨끗한 장총ⓦ을 획득했습니다!,,AR2_분기점1,AR2C1_Box,,분기점1
53,,누군가 방문을 두드립니다.,,,,,
54,선택지2개,문 열기,55,Text,,,
55,,누구냐고 물어보기,58,,,,
56,,,,,AR2C1_HallwayA_1,,
57,첼리,__X__,,Maid_Smile_Big,,,
58,첼리,아가씨@ 짐이 도착했어요!,,Maid_Smile_Big,AR2C1_EventAB,,
59,첼리,저예요@ 첼리! 아가씨 짐 가져다드리러 왔어요!,,Maid_Smile,AR2C1_HallwayA_2,,
60,첼리,__X__,,Maid_Smile_Big,AR2C1_EventAB,,
61,,누군가 방문을 두드립니다.,,,,,
62,선택지1개,누구냐고 물어보기,,,AR2C1_EventB_1,,
63,하녀,새로 오신 아이란 아가씨 맞으세요?,,,,,
64,,주인공의 이름이 ⓑ아이란ⓦ이라는 정보를 얻었습니다.,,,,,
65,하녀,저는 앞으로 아가씨 방을 담당할 첼리예요.\n짐 가져다드리러 왔어요!,,,,,
66,,문을 열었습니다.,,Maid_Basic_Big,AR2C1_HallwayB_1,,
67,첼리,오시는 동안 불편한 곳은 없으셨나요?\n오늘 처음이라 많이 불편하시겠어요!,,Maid_Basic_Big,,,
68,첼리,제가 앞으로 열심히 도울게요! ,,Maid_Smile_Big,AR2C1_EventAB,,
69,,아이란의 짐을 수령했습니다.,End,,AR2C1_AdoptDocument,,
70,,아이란의 ⓑ입양 문서ⓦ를 획득했습니다.,,,,,
71,,ⓑ아이란의 가족관계ⓦ에 대한 정보를 획득했습니다.,,,,,
72,아이란,...내가 고모랑 살게 될 줄이야.,,AR_Childhood,AR2C1_Diary,,
73,,아이란의 ⓑ일기장ⓦ을 획득했습니다.,,,,,
74,아이란,후회해봤자 달라지는 건 없어.,,AR_Childhood_Sad,AR2C1_DiaryContent,,
75,,ⓑ아이란의 과거ⓦ에 대한 정보를 획득했습니다.,,,,,
76,,누군가 또다시 방문을 두드립니다.,,,AR2C1_IntroRoom,,
77,아이란,...첼리?,,AR_Childhood_Curious,,,
78,집사장,저는 집사장입니다.,,,,,
79,,문을 열자 백발의 집사장이 있습니다.,,,AR2C1_Hallway,,
80,집사장,불편한 곳은 없는지@ 못 드시는 건 없는지\n여쭤보고자 왔습니다.,,Butler_Basic_Big,,,
81,아이란,저는... 피망을 못 먹어요.,,AR_Childhood,,,
82,집사장,주방장에게 전달하도록 하겠습니다.,,Butler_Basic_Big,,,
83,,당신은 아이란에 대한 모든 정보를 획득했습니다.,Success,,,,
