,이름,내용,이동번호,멀티챕터,싱글챕터,퀴즈,비고
61,에르덴투야,여긴 곰이 있어서 살펴보기 좀 그런데...,,,ER1C1_BackBtn,,
62,,ⓖ작은 기호ⓦ를 발견했습니다.,,,,,
63,에르덴투야,이건 뭐지? 채소는 기쁘고... 고기는 화난다?,,,ER1C1_Picture,,
64,에르덴투야,배고픈 곰은 위험하니까\n그냥 들어갈 순 없어.,JustOne,,ER1C1_FailCheck,,
65,선택지2개,꿀을 준다.,66,Text,ER1C1_FailCheck,,
66,,고기를 준다.,71,,,,
67,,꿀을 들고 조심스럽게 다가갑니다.,,,ER1C1_BearHoney,,
68,,,,,ER1C1_Bear,,
69,C_Notice,곰이 예의바르게 인사하며\n털 사이 낀 ⓖ갈색 양ⓚ을 건네줍니다.,,,ER1C1_BearClcik,,
70,,,,,ER1C1_SheepBrownAdd,,
71,에르덴투야,고마워!,End,,ER1C1_CaveEnd,,
72,,고기를 들고 조심스럽게 다가갑니다.,,,ER1C1_BearMeat,,
73,,곰이 불쾌해하며 동굴 문을 돌로 막습니다.,,,ER1C1_BearDoor,,
74,에르덴투야,...뭐지?,,,,,
75,Fail,,End,,ER1C1_BearMeat_Return,,
76,,곰의 주의를 끌 방법을 찾지 못했습니다!,,,,,
77,에르덴투야,어디서부터 잘못된 거지..?,,ED_Sad,,,
78,C_Notice,에르덴투야는 결국\n아주머니가 돌아오기 전까지\n양을 모두 찾지 못했습니다!,,,ER1C1_PM,,
79,Fail,,,,,,
80,,절벽 반대편에 목화 밭이 있습니다.,,,,,
81,에르덴투야,여기 다리가 약해서\n다 들고 건너가진 못하는데... 어떡하지?,,,ER1C1_Cliff,ER1C1_Quiz,
82,에르덴투야,얘들아@ 그.. 그거 먹으면 안 돼!,,ED_Surprised,,,
83,,미니 양이 약초를 모두 먹어치웠습니다.\n양들은 반질반질해져 보이지만..\n에르덴투야는 귀한 약초를\n모두 다시 찾아야 합니다.,,,,,
84,Fail,,,,,,
85,에르덴투야,안 돼@ 양 물면 안 된다구!,,ED_Surprised,,,
86,,에르덴투야는 양을 모두\n무사히 찾는 데에 실패했습니다.\n아주머니에게 빚을 지게 되었습니다.,,,,,
87,Fail,,,,,,
88,에르덴투야,휴@ 무사히 다 건넜다!,,,ER1C1_CottonField,,
89,,목화 밭에 도착했습니다.\n목화 밭 속 양을 찾아보세요!,,,,,
90,C_Notice,ⓖ목화색 양ⓚ을 발견했습니다.,,,ER1C1_EndCheck,,
91,,옆집 할아버지를 만났습니다.,,,,,
92,선택지2개,인사를 건넨다.,93,Text,ER1C1_ManSleep,,
93,,몰래 수염만 뒤져본다.,97,,,,
94,,할아버지에게 인사를 건넵니다.,,,,,
95,,할아버지가 웃으면서 금색 양을 건네줍니다.,,,ER1C1_ManSmile,,
96,,,,,ER1C1_SheepGold,,
97,C_Notice,ⓖ금색 양ⓚ을 얻었습니다!,End,,ER1C1_EndCheck,,
98,,몰래 수염만 뒤져봅니다.,,,,,
99,,할아버지가 몹시 불쾌해합니다.,91,Return,ER1C1_ManNo,,
100,,ⓖ사다리ⓦ를 발견했습니다.,End,,ER1C1_Ladder,,
101,,사다리를 획득했습니다.,,,ER1C1_LadderAdd,,
102,,연기 속에 숨어있는 ⓖ하얀 양ⓦ을 발견했습니다.,,,ER1C1_LadderCheck,,
103,,사다리를 사용하여 지붕 위로 이동합니다.,,,ER1C1_SheepWhite,,
104,C_Notice,하얀 양을 찾았습니다.,,,ER1C1_EndCheck,,
105,C_Notice,양을 시간 안에 모두 찾았습니다!,,,ER1C1_End,,
106,에르덴투야,와@ 십년감수했네.,,,,,
107,에르덴투야,양들이 어떻게 울타리 밖으로 나간 거지?\n날기라도 했나?,,ED_Surprised,,,
108,에르덴투야,아주머니@ 오셨어요?,,ED_Happy,,,
109,아주머니,이번엔 양들이 유독 피곤해 보이네~\n왜 그러지?,,,,,
110,에르덴투야,하하하...,,ED_Smile,,,
111,아주머니,아무튼@ 여러모로 고생 많았다!\n여기 용돈이야~,Success,,,,
