,이름,내용,이동번호,멀티챕터,싱글챕터,퀴즈,비고
63,,말없이 신분증을 보여준다.,65,,,,
64,직원,(당황한다.),,,,,
65,직원,손님@ 어쨌든 신분증이 없으면 받기 어렵습니다.,61,Return,,,
66,아이란,(말없이 신분증을 보여준다.),,,,,
67,직원,....!,,,,,
68,직원,저희 정보상에 어떤 일로 방문하셨나요?,,,,,
69,아이란,찾아야 하는 사람이 있어.\n여기@ ⓑ애플ⓦ이라는 가명을 가진 사람이야.,,,,,
70,직원,잠시만 기다려주세요.,,,,,
71,버튼1개,잠시 후@ 직원이 ⓑ종이 한 장ⓦ을 들고 나타났습니다.\n직원은 종이를 건네주자마자 사라졌습니다.,,,,AR1C2_Q1,
72,버튼종료,내용 확인하기,End,,,,
73,아이란,ⓘ보안 유지고 뭐고...\n그냥 몇 번지인지 알려주면 안 되는 건가?ⓦ,JustOne,AR_Pouting,,,
74,버튼1개,이동하고자 하는 곳을 터치하세요.,,NoBlock,,AR1C2_Q1End,
75,버튼종료,문제 다시보기,,,,,
76,Fail,다른 집을 방문한 당신!\n소란을 듣고 범인은 이미 도망가버렸습니다.,,,,,
77,,범인이 숨어 있는 빈 집에 조용히 도착한 아이란!\nⓑ싸우고 있는 연인ⓦ의 목소리가 들린다.,JustOne,,,,
78,선택지2개,노크하고 들어간다.,79,Text,,,
79,,몰래 대화를 엿듣는다.,82,,,,
80,아이란,저기 실례지만 둘 중에 애플이라는 가명의\n마약 거래한 범죄자가 있나요?,,AR_Curious,,,
81,남자,뭐야 이 미친 여자애는?,,,,,
82,Fail,아이란은 증거 수집에 ⓡ실패ⓦ했습니다!,,,,,
83,남자,그래서 얼마가 필요하다는 건데?,,,AR1C2_ARShadow,,
84,여자,지금 그런 이야기 하는 게 아니잖아!,,,,,
85,아이란,ⓘ도움 되는 얘기가 없네....\n좀 더 들어봐야겠다.ⓦ,,AR_No,AR1C2_ARSeated,,
86,,ⓑ사과 문양이 새겨진 립스틱ⓦ을 발견했습니다!,,,AR1C2_ARShadow&Lipstic,,
87,아이란,ⓘ사과? 애플이라고 부르던 그 사람 물건인가?ⓦ,,AR_No,AR1C2_ARSeated&NoLipstic,,
88,Q_Medium,마약 유통상과 그 연인을 발견한 아이란!\n둘 중 한 명은 ⓑ마약상ⓦ이고 한 명은 연인에게 속아 유통을 돕게 된 ⓑ유력한 증인ⓦ이다.\n둘 중 진범 ⓑ애플ⓦ은 누구인가?\n\n용의자들을 눌러 증거를 탐색해주세요!,End,,,AR1C2_Q2,
89,아이란,ⓘ저 여자분은 화장을 안 하셨네.ⓦ,,AR_No,,AR1C2_Q2Woman,
90,Q_Medium,마약 유통상과 그 연인을 발견한 아이란!\n둘 중 한 명은 ⓑ마약상ⓦ이고 한 명은 연인에게 속아 유통을 돕게 된 ⓑ유력한 증인ⓦ이다.\n둘 중 진범 ⓑ애플ⓦ은 누구인가?\n\n용의자들을 눌러 증거를 탐색해주세요!,,,,AR1C2_Q2,
91,아이란,ⓘ왜 실내에서 담배를 피우는 거지...\n손톱도 지저분하네.ⓦ,,AR_No,,AR1C2_Q2Man,
92,Q_Medium,마약 유통상과 그 연인을 발견한 아이란!\n둘 중 한 명은 ⓑ마약상ⓦ이고 한 명은 연인에게 속아 유통을 돕게 된 ⓑ유력한 증인ⓦ이다.\n둘 중 진범 ⓑ애플ⓦ은 누구인가?\n\n용의자들을 눌러 증거를 탐색해주세요!,,,,AR1C2_Q2,
93,아이란,아니@ 자기가 범인이 아니고 증인이면\n범인 아니라고 말을 해야 할 거 아냐!?,,AR_Pouting,,,
94,Fail,아이란이 잘못된 사람을 범인으로 지목했습니다!\n증인을 확보하지 못해 임무에 ⓡ실패ⓦ했습니다.,,,,,
95,,진범은 남자였다!,,,,,
96,아이란,달리기 잘 해요?,,,,,
97,증인,...네? 그냥 평범한 정도인데요....,,witness_basic,,,
98,아이란,다행이네요. 전 못 하거든요.,,,AR1C2_ARSkill2_Add,,
99,,아이란은 진범 주변에 ⓑ원 모양의 불ⓦ을 질렀다!,,,,,
100,진범,으악!!!,,,,,
101,아이란,사람을 죽일 수는 없으니까..\n일단 다른 곳으로 가죠.,,,,AR1C2_Q3,
102,Q_Medium,증인을 데리고 탈출하기 위한\nⓑ최단 루트ⓦ를 찾아야 한다!\n다음 길을 가장 빨리 돌파할 수 있는 방법을 찾아라.\n\n미로 위에 길을 알맞게 그려주세요!\n* 손가락을 떼지 않아야 합니다.,,,,,
103,Fail,아이란은 시간 안에 미로를 탈출하지 못했습니다.\n범인과 전면전을 벌여@\n사건이 필요 이상의 주목을 받았습니다.,,,,,
104,,미로를 무사히 빠져나왔습니다.,,,,,
105,증인,ㄱ... 감사합니다.,,witness_basic,,,
106,아이란,아 뭐@ 네.,,,,,
107,,갑자기 진범이 권총을 쏘기 시작했다!,,,,,
108,아이란,정신 똑바로 차려요.,,,AR1C2_ARSkill3_Add,,
109,,아이란도 무언가를 이용해\n남자를 쏘기 시작했습니다.,,,AR1C2_ARSkill_Shot,,
110,증인,총 되게 잘 쏘시네요......!,,witness_basic,,,
111,아이란,이거 총 아니에요. 마력 조절기.,,,,,
112,,아이란은 다시 총 쏘기에 집중합니다.,,,,AR1C2_Q4,
113,Q_Medium,아이란은 스킬로 길 일부를 봉쇄해\n진범을 막고자 한다.\n도시 내 기물 파손을 최대한 막기 위해@\nⓑ가급적 적은 피해ⓦ를 입혀야 한다.\n\n다음 중 어디를 막아야 할까?,,,,,
114,,아이란은 잘못된 곳에 총을 쐈다!,,,,,
115,아이란,아... 망했네.,,,,,
116,Fail,도시의 여러 곳을 쏴서 막았고@\n사건이 필요 이상의 주목을 받게 되었습니다.,,,,,
117,,길을 막아 시간을 벌었다!,,,,,
118,선택지2개,여유가 생겼으니 걸어간다.,119,Text,,,
119,,한시가 급하니 뛰어간다.,121,,,,
120,증인,걸어가도... 괜찮을까요?,,witness_worry,,,
121,아이란,충분할 거예요. 좀 걷죠.,124,Jump,,,
122,,아이란은 뛰는 걸 싫어한다고 한다.\n아이란이 뛰는 것을 거부했다.,,,,,
123,증인,...안 뛰시나요?,,witness_worry,,,
124,아이란,뛰면 힘들어요.,,,,,
125,,아이란과 증인은 증인의 아지트에 도착했습니다!,,,,,
126,Q_Medium,은신처는 마법이 걸려 있어@\n가짜 문을 열면 모든 문이 사라집니다.\n\nⓑ진짜 문ⓦ을 골라주세요.,End,,,AR1C2_Q5,
127,Popup,선택하기,,,,AR1C2_Q5Door,
128,,돌아가기,,,,,
129,Fail,아이란은 ⓡ잘못된 문ⓦ을 선택했습니다.\n범인과 결투를 벌이느라\n시간이 너무 지체되었습니다.,,,,,
130,,ⓑ증인의 아지트ⓦ에 들어왔습니다!,,,,,
131,,,Success,,,,
